emotion,distance
4, 80 94 34 78 31 46 80 26 48 51 43 39 61 69 64 79 63 99 93 108 81 79 113 88
4, 82 93 33 81 29 45 81 26 48 55 44 39 62 73 64 82 65 99 94 113 82 82 117 90
4, 90 96 37 86 34 47 81 29 46 47 45 43 58 65 65 79 62 101 88 104 76 77 109 89
4, 87 92 32 83 32 50 80 24 45 48 43 41 59 67 65 80 66 99 91 100 80 79 105 89
4, 80 100 39 78 37 50 81 35 51 57 46 44 65 74 65 80 65 102 93 106 80 81 111 87
4, 89 96 33 84 30 47 80 24 49 49 45 40 61 68 67 83 66 100 95 107 82 82 112 92
4, 82 98 34 76 34 51 76 27 47 49 45 41 58 68 61 83 68 100 94 107 83 82 111 90
4, 86 95 33 82 31 48 78 25 47 51 44 39 62 71 66 79 63 104 96 112 82 80 117 94
4, 79 97 33 76 29 45 79 26 46 53 41 41 61 72 61 76 61 97 90 105 78 77 111 87
4, 74 100 36 69 33 48 75 29 45 50 44 43 58 68 58 83 65 104 95 111 83 83 115 87
4, 84 97 38 79 36 52 78 32 48 52 47 46 61 70 64 78 64 99 88 103 78 78 109 88
4, 83 91 34 80 31 49 78 26 47 52 43 42 61 70 63 83 66 100 96 110 83 83 116 90
4, 86 92 34 83 31 49 79 26 50 51 45 39 62 70 67 83 66 98 94 107 82 82 110 90
4, 71 95 36 69 35 48 71 30 46 48 44 42 58 68 59 82 64 101 94 114 83 81 118 89
4, 84 95 34 82 31 48 80 25 48 50 45 40 61 69 65 83 65 97 95 107 83 82 111 89
4, 92 98 36 85 37 55 78 28 48 53 45 43 63 74 68 82 71 100 92 95 81 80 101 93
4, 87 92 35 83 31 48 78 26 48 49 46 40 59 66 66 81 65 99 92 106 80 80 110 90
4, 86 92 34 83 33 49 80 27 48 51 44 40 61 70 65 82 65 99 93 106 80 81 111 91
4, 90 100 32 88 33 53 84 21 45 44 44 39 56 63 67 86 73 101 91 95 80 81 99 91
4, 78 93 37 75 34 48 79 30 49 55 45 42 62 73 63 78 63 97 91 105 78 78 110 86
4, 80 89 42 79 36 45 77 36 52 52 49 45 59 67 61 75 59 99 87 106 75 76 111 84
4, 86 95 35 81 32 48 79 27 50 52 46 42 63 71 66 80 64 102 93 108 81 81 114 90
4, 90 96 33 86 29 47 81 23 48 50 44 42 62 68 68 82 66 99 93 103 81 81 107 90
4, 85 92 35 82 31 47 80 27 48 50 45 40 60 67 65 81 64 100 94 109 81 81 112 90
4, 89 96 31 86 29 47 81 23 47 52 44 38 62 71 66 86 69 101 94 106 82 81 110 92
4, 80 93 35 77 32 48 78 28 47 54 43 42 62 72 63 81 65 102 96 112 82 83 116 90
4, 87 94 35 85 32 48 84 28 48 46 46 40 58 63 67 83 66 98 92 104 80 80 106 90
4, 88 94 34 84 31 48 80 25 49 52 45 38 63 71 68 83 65 99 93 106 80 81 111 91
